sale_id,sale_date,customer_id,product_id,product_name,category,quantity,unit_price,discount_pct,total_amount,city,state,store_id,payment_mode
S000080001,2026-06-09,C40758,P0010,Cricket Bat,Sports,5,14129,20,56516.0,Pune,Maharashtra,ST006,Credit Card
S000080002,2026-06-09,C18685,P0010,Cricket Bat,Sports,3,8743,0,26229.0,Lucknow,Uttar Pradesh,ST010,Credit Card
S000080003,2026-06-09,C04038,P0003,Laptop,Electronics,2,37779,20,60446.4,Delhi,Delhi,ST001,Cash
S000080004,2026-06-09,C32938,P0009,Office Chair,Home,3,8135,10,21964.5,Chennai,Tamil Nadu,ST005,Debit Card
S000080005,2026-06-09,C20472,P0007,Milk,Grocery,5,27,15,114.75,Jaipur,Rajasthan,ST009,UPI
S000080006,2026-06-09,C19840,P0002,Samsung TV,Electronics,4,18493,0,73972.0,Bengaluru,Karnataka,ST003,Credit Card
S000080007,2026-06-09,C14741,P0007,Milk,Grocery,5,484,5,2299.0,Pune,Maharashtra,ST006,Debit Card
S000080008,2026-06-09,C06785,P0003,Laptop,Electronics,2,81493,15,138538.1,Jaipur,Rajasthan,ST009,UPI
S000080009,2026-06-09,C04553,P0002,Samsung TV,Electronics,5,18951,0,94755.0,Jaipur,Rajasthan,ST009,UPI
S000080010,2026-06-09,C09298,P0002,Samsung TV,Electronics,4,13300,20,42560.0,Kolkata,West Bengal,ST007,Net Banking
S000080011,2026-06-09,C19611,P0003,Laptop,Electronics,2,81004,0,162008.0,Ahmedabad,Gujarat,ST008,Cash
S000080012,2026-06-09,C12334,P0005,Women's Jeans,Fashion,3,2121,20,5090.4,Chennai,Tamil Nadu,ST005,Credit Card
S000080013,2026-06-09,C15592,P0003,Laptop,Electronics,3,88626,10,239290.2,Bengaluru,Karnataka,ST003,Net Banking
S000080014,2026-06-09,C20593,P0010,Cricket Bat,Sports,1,11906,15,10120.1,Chennai,Tamil Nadu,ST005,Debit Card
S000080015,2026-06-09,C08586,P0008,Dining Table,Home,2,4011,0,8022.0,Pune,Maharashtra,ST006,Net Banking
S000080016,2026-06-09,C24381,P0009,Office Chair,Home,5,4470,0,22350.0,Delhi,Delhi,ST001,UPI
S000080017,2026-06-09,C38271,P0006,Rice Bag,Grocery,4,241,20,771.2,Jaipur,Rajasthan,ST009,UPI
S000080018,2026-06-09,C32422,P0003,Laptop,Electronics,3,32657,10,88173.9,Delhi,Delhi,ST001,Cash
S000080019,2026-06-09,C16768,P0003,Laptop,Electronics,5,37198,20,148792.0,Lucknow,Uttar Pradesh,ST010,Credit Card
